"ARK International School, Begusarai",,Begusarai
"Blossom International Public School, Begusarai",,Begusarai
"St.Paul's School, Begusarai",,Begusarai
"Sunflower School, Begusarai",,Begusarai
"Don Bosco School, Berhampore",,Berhampore
"Merry Immaculate School, Berhampore",,Berhampore
"Assembly Of God Church School, Bettiah",,Bettiah
"Isma Public School Chanpatia, Bettiah",,Bettiah
"Sunbeam Blossom School, Bhabua",,Bhabua
"Shanti Niketan Public School, Bhadra",,Bhadra
"Sri Satya Sai Vidya Vihar, Bhadrak",,Bhadrak
"Shri Sai Convent School, Bhadravati",,Bhadravati
"New Horizon School, Bhagalpur",,Bhagalpur
"Shri Guru Harikishan Sr.Sec.School, Bharatpur ",,Bharatpur
"St Peter's Sr Sec School Bharatpur, Bharatpur",,Bharatpur
"JNV, Bharuch",,Bharuch
"Queen Of Angelsconvent H.S.School, Bharuch",,Bharuch
"Sri Satya Sai Vidya Mandir, Bhawanipatna",,Bhawanipatna
"Delhi Public School, Bhilai",,Bhilai
"Rungta Public School, Bhilai",,Bhilai
"Greenvalley Public School, Bhilwara",,Bhilwara
"Sanskar Valley Public School, Bhind",,Bhind
"B.S.V.Pilani, Bhiwani",,Bhiwani
"Lord Parshu Ram High School, Bhiwani ",,Bhiwani
"Jawahar Lal Neharu School, Bhopal",,Bhopal
"Buxi Jagabandhu English Medium School, Bhubaneswar",,Bhubaneswar
"Loyola School, Bhubaneswar",,Bhubaneswar
"Sai International School, Bhubaneswar",,Bhubaneswar
"St Joseph's Higher Secondary School, Bhubaneswar",,Bhubaneswar
"Stewart School, Bhubaneswar",,Bhubaneswar
"Vikash Residential School, Bhubaneswar",,Bhubaneswar
"Shri Shantadurgashantadurga High School, Bicholim",,Bicholim
"Gnyana Sudha Vidyalaya, Bidar",,Bidar
"Sri Aurobindo Institute Of Education, Bidhannagar",,Bidhannagar
"St Joseph Academy, Bihar sharif ",,Bihar sharif
"Jawahar Navodya Vidhalya, Bijnor",,Bijnor
"St. Marys School, Bijnor",,Bijnor
"Bikaner Boys School, Bikaner",,Bikaner
"Seth Tolaram Bafna Academy, Bikaner",,Bikaner
"Bal Bharati Public School, Bilaspur",,Bilaspur
"Brilliant Public School, Bilaspur",,Bilaspur
"Kendriya Vidyalaya, Bilaspur",,Bilaspur
"Krishna Public School, Bilaspur",,Bilaspur
"Minerva Sr Sec School, Bilaspur",,Bilaspur
"St.Xavier High School, Bilaspur",,Bilaspur
"Dav Borl Public School, Bina",,Bina
"St. Xavier's Public School, Binka",,Binka
"Carmel Convent School Bishrampur, Bishrampur",,Bishrampur
"Chinmaya Vidyalaya, Boisar",,Boisar
"Bokaro Public School, Bokaro ",,Bokaro Steel City
"Chinmaya Vidyalaya, Bokaro Steel City",,Bokaro Steel City
"St Paul's Modern School Bokaro Thermal, Bokaro Steel City",,Bokaro Steel City
"Delhi Public School, Bongaigon",,Bongaigaon
"Depaul School, Brahmapur",,Brahmapur
"SSVM Nknagar Ganjam, Brahmapur",,Brahmapur
"St.Vincent's Convent School, Brahmapur",,Brahmapur
"Tithonus International School, Budaun",,Budaun
"AECS Narora, Bulandshahr",,Bulandshahr
"Atomic Energy Central School, Narora, Bulandshahr",,Bulandshahr
"Delhi City School, Bulandshahr",,Bulandshahr
"Saint Momina School, Bulandshahr",,Bulandshahr
"Shree Shivaji Vidyamandir, Chakan",,Chakan
"Abhinav School Chalisgaon, Chalisgaon",,Chalisgaon
"St.Joseph Convent School, Chalisgaon",,Chalisgaon
"Bhavan Vidyalaya, Chandigarh",,Chandigarh
"Delhi Public School, Chandigarh",,Chandigarh
"Mount Carmel School, Chandigarh",,Chandigarh
"NBN Smart School, Chandigarh",,Chandigarh
"Sacred Heart Sr Sec School, Chandigarh",,Chandigarh
"Saint John High School, Chandigarh",,Chandigarh
"St Johns High School, Chandigarh",,Chandigarh
"St. Joseph Presidium School, Chandigarh",,Chandigarh
"St.Stephen's School, Chandigarh",,Chandigarh
"Bharat Vidyalaya Nawargaon, Chandrapur",,Chandrapur
"Children Delight School, Chapra",,Chapra
"Arya Sr. Sec. School, Charkhi Dadri",,Charkhi Dadri
"Carmel Convent School, Chatrapur",,Chatrapur
"Alwin Memorial Public School, Chennai",,Chennai
"Apex Pon Vidyashram, Chennai",,Chennai
"Arulmigu Meenakshi Amman Public, Chennai",,Chennai
"Besant Arundale Senior Seconda, Chennai",,Chennai
"Bhavans Rajajai Vidhyasharam, Chennai",,Chennai
"BVM Global School, Chennai",,Chennai
"Chennai Public School, Chennai",,Chennai
"Chettinad Harishree Vidhyalam, Chennai",,Chennai
"D.A.V. Public School, Chennai",,Chennai
"Dav Boys Senior Sec School, Chennai",,Chennai
"Ebenezer Marcus International School, Chennai",,Chennai
"Ebinezar Marcus Junior College, Chennai",,Chennai
"GKM Vidhyashram, Chennai",,Chennai
"Harishree Vidyalayam, Chennai",,Chennai
"Hindustan International School, Chennai",,Chennai
"Jawahar Vidyalaya Senior Secondary School, Chennai",,Chennai
"Lalaji Omega International School, Chennai",,Chennai
"Maharishi Vidya Mandir, Chennai",,Chennai
"Mahindra World School, Chennai",,Chennai
"Narayana Olympiad School, Chennai",,Chennai
"Our Lady's Mat.Hr.Sec.School, Chennai",,Chennai
"Primrose School, Chennai",,Chennai
"Ramana Vidyalaya, Chennai",,Chennai
"Ravindra Bharathi Global Schoo, Chennai",,Chennai
"SBOA School & Junior College, Chennai",,Chennai
"Sgerwood Hall Senior Secondary, Chennai",,Chennai
"Shree Niketan Patasala, Chennai",,Chennai
"Sri Chaitanya Techno School, Chennai",,Chennai
"Stockholm International School, Chennai",,Chennai
"The Hindu Senior Secondary School, Chennai",,Chennai
"The Pupil - Eco Saveethaschool, Chennai ",,Chennai
"The Schram Academy, Chennai",,Chennai
"Thevedanta Academy, Chennai",,Chennai
"VELS Vidyashram International Pallavaram, Chennai",,Chennai
"Vidya Mandir Senior Secondary School, Chennai",,Chennai
"Yakut Madhya Vidyalaya, Chewara",,Chewara
"Christian English College, Chhatarpur",,Chhatarpur
"Royal Kids Convent Chhuriya, Chhattisgarh",,Chhattisgarh
"The Chikhali Urban Vidyaniketan, Chikhali",,Chikhali
"St Frances Of Assisi School Chikodi, Chikodi",,Chikodi
"Podar International School, Chinchwad",,Chinchwad
"St. Joseph's Convent, Chandannagar, Chinsurah",,Chinsurah
"St. Joseph's Convent Higher Secondary School, Chittaranjan",,Chittaranjan
"PES Public School, Chittoor",,Chittoor
"Rishi Valley School, Chittoor",,Chittoor
"The Peepal Grove School, Chittoor",,Chittoor
"Dr.Dasarathan International School, Coimbatore",,Coimbatore
"G.D Matriculation School, Coimbatore",,Coimbatore
"Manchester International Schoo, Coimbatore",,Coimbatore
"Suguna Pip School, Coimbatore",,Coimbatore
"Aurobind Pathvaban, Cooch Behar",,Cooch Behar
"Netaji Centenary School, Cooch Behar",,Cooch Behar
"St. Joseph's Academy, Cooch Behar ",,Cooch Behar
"St. Mary's High School, Cooch Behar",,Cooch Behar
"Dr. Dev Mohanty Public School, Cuttack",,Cuttack
"Lrdav Public School, Ganderpur, Cuttack",,Cuttack
"Narayana School, Cuttack",,Cuttack
"S.C.B. Medical Public School, Cuttack",,Cuttack
"Cambridge School, Dabra",,Dabra
"St.Mary's School, Dahod",,Dahod
"Indian International School, Dammam",,Dammam
"Shri Guru Nanak Hr. Sec. School, Damoh",,Damoh
"D.A.V Public School, Darbhanga",,Darbhanga
"Delhi Public School, Darbhanga",,Darbhanga
"Jesus And Mary Academy, Darbhanga",,Darbhanga
"Madonna English School, Darbhanga ",,Darbhanga
"PC High School, Darbhanga",,Darbhanga
"Sunshine Play School, Debai",,Debai
"Podar Learn School Degloor, Degloor",,Degloor
"Ann Mary School, Dehradun",,Dehradun
"Dehradun World School, Dehradun",,Dehradun
"Doon International School, Dehradun",,Dehradun
"Hilton's School, Dehradun",,Dehradun
"St. Joseph's Academy, Dehradun",,Dehradun
"The Oasis, Dehradun",,Dehradun
"M.S.Gopibigha, Dehri",,Dehri
"Our Own High School Warqa, Deira",,Deira
"Aadharshila Vidyapeeth, Delhi",,Delhi
"Adarsh Public School, Delhi",,Delhi
"AGDAV Public School, Delhi",,Delhi
"Ahlcon Public School, Delhi",,Delhi
"Akash Model Senior Secondary School, Delhi",,Delhi
"Amity International School, Delhi",,Delhi
"ASN Sr Sec School, Delhi",,Delhi
"Bal Bharti Public School, Delhi",,Delhi
"Bal Niketan Public School, Delhi",,Delhi
"BGS International Public School, Delhi",,Delhi
"Bhatnagar International School, Delhi",,Delhi
"Bosco Public School, Delhi",,Delhi
"C.R.Saini Public Sr.Sec.School, Delhi",,Delhi
"Cambridge Primary School, Delhi",,Delhi
"Chinmaya Vidyalaya, Delhi",,Delhi
"D.A.V Public School, Delhi",,Delhi
"D.P.S Mathura Road, Delhi",,Delhi
"Delhi Police Public School, Delhi",,Delhi
"Faith Academy School, Delhi",,Delhi
"Flora Dale School, Delhi",,Delhi
"Gd Goenka Public School, Delhi",,Delhi
"Genesis Global School, Delhi",,Delhi
"Government Sarvodya Bal Vidyal, Delhi",,Delhi
"Green Fields School, Delhi",,Delhi
"Green Valley International Public School, Najafgarh",,Delhi
"Green View Public School, Delhi",,Delhi
"Greenway Modern School, Delhi",,Delhi
"Gyan Bharati, Delhi",,Delhi
"Hansraj Smarak School Dilshad, Delhi",,Delhi
"Indraprastha International School, Delhi",,Delhi
"J.K Public School, Delhi",,Delhi
"K.R.Mangalam World School, Delhi",,Delhi
"Kendriya Vidhalaya, Delhi",,Delhi
"Lancer's Convent, Delhi",,Delhi
"Lions Public School, Delhi",,Delhi
"Loreto Convent, Delhi ",,Delhi
"Lotus Valley International School, Delhi",,Delhi
