school_name,city,country
Shree Niketan Patasala,Chennai,India
Sri Chaitanya Techno School,Chennai,India
Stockholm International School,Chennai,India
The Hindu Senior Secondary School,Chennai,India
The Pupil - Eco Saveethaschool,Chennai,India
The Schram Academy,Chennai,India
Thevedanta Academy,Chennai,India
VELS Vidyashram International Pallavaram,Chennai,India
Vidya Mandir Senior Secondary School,Chennai,India
Yakut Madhya Vidyalaya,Chewara,India
Christian English College,Chhatarpur,India
Royal Kids Convent Chhuriya,Chhattisgarh,India
The Chikhali Urban Vidyaniketan,Chikhali,India
St Frances Of Assisi School Chikodi,Chikodi,India
Podar International School,Chinchwad,India
St. Joseph's Convent,Chandannagar,India
St. Joseph's Convent Higher Secondary School,Chittaranjan,India
PES Public School,Chittoor,India
Rishi Valley School,Chittoor,India
The Peepal Grove School,Chittoor,India
Dr.Dasarathan International School,Coimbatore,India
G.D Matriculation School,Coimbatore,India
Manchester International Schoo,Coimbatore,India
Suguna Pip School,Coimbatore,India
Aurobind Pathvaban,Cooch Behar,India
Netaji Centenary School,Cooch Behar,India
St. Joseph's Academy,Cooch Behar,India
St. Mary's High School,Cooch Behar,India
Dr. Dev Mohanty Public School,Cuttack,India
Lrdav Public School,Cuttack,India
Narayana School,Cuttack,India
S.C.B. Medical Public School,Cuttack,India
Cambridge School,Dabra,India
St.Mary's School,Dahod,India
Indian International School,Dammam,India
Shri Guru Nanak Hr. Sec. School,Damoh,India
D.A.V Public School,Darbhanga,India
Delhi Public School,Darbhanga,India
Jesus And Mary Academy,Darbhanga,India
Madonna English School,Darbhanga,India
PC High School,Darbhanga,India
Sunshine Play School,Debai,India
Podar Learn School Degloor,Degloor,India
Ann Mary School,Dehradun,India
Dehradun World School,Dehradun,India
Doon International School,Dehradun,India
Hilton's School,Dehradun,India
St. Joseph's Academy,Dehradun,India
The Oasis,Dehradun,India
M.S.Gopibigha,Dehri,India
Our Own High School Warqa,Deira,India
Aadharshila Vidyapeeth,Delhi,India
Adarsh Public School,Delhi,India
AGDAV Public School,Delhi,India
Ahlcon Public School,Delhi,India
Akash Model Senior Secondary School,Delhi,India
Amity International School,Delhi,India
ASN Sr Sec School,Delhi,India
Bal Bharti Public School,Delhi,India
Bal Niketan Public School,Delhi,India
BGS International Public School,Delhi,India
Bhatnagar International School,Delhi,India
Bosco Public School,Delhi,India
C.R.Saini Public Sr.Sec.School,Delhi,India
Cambridge Primary School,Delhi,India
Chinmaya Vidyalaya,Delhi,India
D.A.V Public School,Delhi,India
D.P.S Mathura Road,Delhi,India
Delhi Police Public School,Delhi,India
Faith Academy School,Delhi,India
Flora Dale School,Delhi,India
Gd Goenka Public School,Delhi,India
Genesis Global School,Delhi,India
Government Sarvodya Bal Vidyal,Delhi,India
Green Fields School,Delhi,India
Green Valley International Public School,Najafgarh,India
Green View Public School,Delhi,India
Greenway Modern School,Delhi,India
Gyan Bharati,Delhi,India
Hansraj Smarak School Dilshad,Delhi,India
Indraprastha International School,Delhi,India
J.K Public School,Delhi,India
K.R.Mangalam World School,Delhi,India
Kendriya Vidhalaya,Delhi,India
Lancer's Convent,Delhi,India
Lions Public School,Delhi,India
Loreto Convent,Delhi,India
Lotus Valley International School,Delhi,India
Mata Shiv Devi Public School,Delhi,India
Modern School,Delhi,India
Mother's International School,Delhi,India
Mount Abu School,Delhi,India
New Green Field School,Delhi,India
NK Bagrodia Public School,Delhi,India
Prabhu Dayal Public School,Delhi,India
Pragati Public School,Delhi,India
Presentation Convent Senior Secondary School,Delhi,India
Ramjas School,Delhi,India
Ravindra Memorial Public School,Delhi,India
Richmondd Global School,Delhi,India
Rosary Senior Secondary School,Delhi,India
Ryan International School,Delhi,India
Sachdeva Public School,Delhi,India
SAM International School,Delhi,India
Sant Nirankari Public School,Delhi,India
Saraswati Bal Mandir,Delhi,India
Sardar Patel School,Delhi,India
Sarvodya Bal Vidhalaya,Delhi,India
Shared Rajpal Dav Public Schoo,Delhi,India
Shreeram World School,Delhi,India
Shri Tula Ram Public School,Delhi,India
Siddharth International Public School,Delhi,India
SMS Janakpuri,Delhi,India
Soami Nagar Model School,Delhi,India
Srijan Public School,Delhi,India
St Marks Sr Sec Public School,Delhi,India
St Paul School,Delhi,India
St. Anthony's Sr. Sec School,Delhi,India
St. BS Public School,Delhi,India
St. Columba's School,Delhi,India
St. Mary Sr. Sec. School,Delhi,India
St. Michael Junior School,Delhi,India
St. Michael Senior Secondary School,Delhi,India
St. Paul's School,Delhi,India
St. Thomas School,Delhi,India
St.Joseph,Delhi,India
St.Marks Se Sec Public School,Delhi,India
Tagore International School Eok,Delhi,India
The Shri Ram School Vasant Vihar,Delhi,India
The Srijan School,Delhi,India
Tyagi Public School,Delhi,India
V. S. P. K International School,Delhi,India
Vasant Valley School,Delhi,India
Vedic Sanskrit Agriculture Senior Secondary School,Delhi,India
Venkteshwar International School,Delhi,India
Vishal Bharti Public School,Delhi,India
VSPK International School,Delhi,India
St. Francis School Deoghar,Deoghar,India
St.Xavier's High School,Deoghar,India
Carmel English School,Devanhalli,India
St.Mary's Convent S.S School,Dewas,India
Balika Vidya Mandir,Dhanbad,India
K.K Polytechnic,Dhanbad,India
Rosemary Land School,Dhanbad,India
R P S Public School,Dharuhera,India
Chavara Public School,Dhule,India
K.S.K.New City High School,Dhule,India
Play House School,Digboi,India
Netaji Centenary School,Dinhata,India
St Marys School,Dinhata,India
Holy Child English School Hawaipur,Diphu,India
Nilbagan Jatio Vidyalaya,Doboka,India
Pranbhakar Desai International School,Dom,India
The South Indian Association,Dombivli,India
Divine Mercy School,Domjur,India
Hasti Public School,Dondaicha,India
Flower Kids Senior Secondary School,Dungarpur,India
Ideal International School,Durg,India
Carmel Convent High School,Durgapur,India
Delhi Public School,Durgapur,India
Hemsheela Model School,Durgapur,India
Narayana Schools,Durgapur,India
St. Xavier's School,Durgapur,India
Kumaon Public School,Dwarahat,India
Rajagiri Christujayanti Public School,Kochi,India
St Antony's Public School,Ernakulam,India
The Unique Academy,Erode,India
Assisi Convent School,Etah,India
Mount Litera Zee School,Etah,India
Aggarwal Public School,Faridabad,India
Apeejay Svran Global School,Faridabad,India
Aravali International School,Faridabad,India
Ashok Memorial Public School,Faridabad,India
Dav Public School,Faridabad,India
Dynasty International School,Faridabad,India
Faridabad Model School,Faridabad,India
Holy Child Public School,Faridabad,India
Manav Rachna International School,Faridabad,India
Modern Delhi Public School,Faridabad,India
Northland International School,Faridabad,India
Panch Sheel Public School,Faridabad,India
Vishal Bharti Vidya Mandir,Faridabad,India
Mount Litera Zee School,Farrukhabad,India
S.B.P D.A.V Centenary Public School,Fatehabad,India
SBP Dav Centenary Public Schoo,Fatehabad,India
St.Xavier High School,Fatehpur,India
Christ The King Inter College,Firozabad,India
Satya Lakshya Euroworld School,Ganganagar,India
St. Claret School,Gangarampur,India
Akshara Public School,Gangavathi,India
Army Public School,Gaya,India
Modern English School,Gaya,India
Air Force School Hindan,Ghaziabad,India
Amity International School,Ghaziabad,India
Apeejay,Ghaziabad,India
Arwachin International School,Ghaziabad,India
Bharam Ram Global School,Ghaziabad,India
Delhi Public School,Ghaziabad,India
DLF Plublic School,Ghaziabad,India
DPSG International,Ghaziabad,India
DPSGV,Ghaziabad,India
Fr. Agnel School Noida,Ghaziabad,India
KDB Public School,Ghaziabad,India
Khaitan Public School,Ghaziabad,India
Presidium,Ghaziabad,India
Ryan International School,Ghaziabad,India
Seth Anandram Jaipuria,Ghaziabad,India
Springvalley Public School,Ghaziabad,India
St. Francis School,Ghaziabad,India
St. Pauls Academy,Ghaziabad,India
A.V Senior Secondary School,Ghumarwin,India
Make India School,Giridih,India
Saluja Gold International,Giridih,India
Fr Agnel Central School,Goa,India
Sunshine World Wide School,Goa,India
Goalpara English School,Goalpara,India
Mother Marry School,Goalpara,India
Sacred Heart School,Golaghat,India
Jawahar Navodaya Vidyalaya,Gondia,India
G. N. National Public School,Gorakhpur,India
Little Flower School,Gorakhpur,India
St Judes School,Gorakhpur,India
St. Joseph School,Gorakhpur,India
St. Joseph Convent School,Goraya,India
Viswabharathi Schol,Gudivada,India
Sri Venkateswara Bala Kuteer,Guntur,India
H.R.A International School,Gurdaspur,India
Amity International School,Gurugram,India
C.C.S.Sr.Sec.School,Gurugram,India
D A V Public School,Gurugram,India
G.A.V. Public School,Gurugram,India
Gd Goenka Public School,Gurugram,India
K.R Mangalam World School,Gurugram,India
Kunskappskolan International,Gurugram,India
Lotus Valley International School,Gurugram,India
Manav Rachna International,Gurugram,India
Mount Carmel School,Gurugram,India
Mount Olympus,Gurugram,India
Pathways World School,Gurugram,India
RPS International School,Gurugram,India
Salwan Public School,Gurugram,India
Scholars Home,Gurugram,India
Scottish High International,Gurugram,India
Shalom Hills International,Gurugram,India
Shiv Nadar School,Gurugram,India
Sidheshwar Public School,Gurugram,India
Social Influencer,Gurugram,India
The Heritage School,Gurugram,India
The Maurya School,Gurugram,India
The Shri Ram School Aravali,Gurgoan,India
Delhi Public School,Guwahati,India
Don Bosco,Guwahati,India
Maria's Public School,Guwahati,India
Pragjyotish Sr. Secondary School,Guwahati,India
Sanskriti The Gurukul,Guwahati,India
South Point School,Guwahati,India
St. Francis De Sales Higher Secondary School,Guwahati,India
St. Mary's H.S. School,Guwahati,India
St.Claret School,Guwahati,India
St.Joseph's Public School,Guwahati,India
Little Angles High School,Gwalior,India
No.1 Air Force School Gwalior,Gwalior,India
St Paul's School,Hajipur,India
Assembly Of God Church School,Haldia,India
Dav Public School,Haldia,India
The Assembly Of God Church School,Haldia,India
Aryaman Vikram Birla Institute Of Learning,Haldwani,India
Naini Vally Ser Sec School,Haldwani,India
Devine International School,Hamirpur,India
Him Academy Public School,Hamirpur,India
Little Flower Convent School,Hanumangarh,India
S.G.S.D.A.V. Centenary Public,Hanumangarh,India
St.Xavier's Sr Secondary School,Hapur,India
St. Mary Sr. Sec.School Jwalapur,Haridwar,India
The Wisdom Global School,Haridwar,India
Haroa F.P. School,Haroa,India
Kendriya Vidyalaya Hassan,Hassan,India
United Academy,Hassan,India
BLS International School,Hathras,India
Delhi Public School,Hazaribag,India
DVDBS Chinmaya Vidyalaya,Hindupur,India
O. P. Jindal Modern School,Hisar,India
St. Francis Xavier School,Hisar,India
The Aryan School,Hisar,India
Jeevan Jyoti Public School,Hisua,India
Sandepani International Residentialschool,Holalkere,India
H M Education Centre,Hooghly,India
Surabhi Vidyaniketan,Hosapete,India
Citizens High School,Hoskote,India
Asian Christian High School,Hosur,India
Chaitanya Techno School,Hosur,India
Baranagore Ramakrishna Mission Ashrama High School,Howrah,India
Lotus Day School,Howrah,India
Methodist School Dankuni,Howrah,India
Sasati Nahala Kathaldaha Abinash High School,Howrah,India
Parivathan Gurukul School,Hubli,India
Academic Heights Public School,Hyderabad,India
Akshra International School,Hyderabad,India
Bharatiya Vidya Bhavans Public School,Hyderabad,India
Bhashyam Brooks,Hyderabad,India
Bhavans Sri Rama Krishna Vidya,Hyderabad,India
Brigade Public School,Hyderabad,India
CMR International School,Hyderabad,India
Dav Public School,Hyderabad,India
Delhi Public School,Hyderabad,India
Future Kids School,Hyderabad,India
Gaudium International School,Hyderabad,India
Genesis International School,Hyderabad,India
Glendale Academy,Hyderabad,India
Hindu Techno School,Hyderabad,India
Indian High School,Hyderabad,India
Indus Universal School,Hyderabad,India
Little Flower High School,Hyderabad,India
Little Scholar School,Hyderabad,India
Manthan International School,Hyderabad,India
Meridian School,Hyderabad,India
Meru International School,Hyderabad,India
Narayana Iit Olympiad,Hyderabad,India
Niraj Public School,Hyderabad,India
Oakridge International,Hyderabad,India
Oasis School,Hyderabad,India
Pallavi Model School,Hyderabad,India
Phoenix Green School,Hyderabad,India
Pobul Reddy Public School,Hyderabad,India
Ramadevi Public School,Hyderabad,India
Ravindra Bharathi School,Hyderabad,India
Sancta Maria International,Hyderabad,India
Sanskriti School,Hyderabad,India
Satkama High School,Hyderabad,India
Scholar's International School,Hyderabad,India
Shantiniketan International School,Hyderabad,India
Shloka - A Birla School,Hyderabad,India
Sri Aurobindo International School,Hyderabad,India
Sri Chaitanya Techno School,Hyderabad,India
St. Theresa High School,Hyderabad,India
St.Joseph's High School,Hyderabad,India
Tatva Global School,Hyderabad,India
The Shri Ram Universal School,Hyderabad,India
Unique High School,Hyderabad,India
Choithram School,Indore,India
Ideal International School,Indore,India
Indore Public School,Indore,India
Medicaps Inter National School,Indore,India
Shiva Academy School,Indore,India
Shri Krishna Public School,Indore,India
